ReferenceID,CellID,CellType,Variable,Material Used,Location in reference,Measurement Equation,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Species,Strain,Sex,Age or Weight
900076,1009,SG HICAP,x12,"""An axon arbor consisting of a delicate net-like arborization in the [dentate gyrus] GCL [granule cell layer] (Amaral, 1978; Ribak and Seress, 1983; Han et al., 1993) was recovered in only four cells or ~10% of the 41 cells with defined axonal domains (Fig. 1). ... Basket cells and axo-axonic cells are difficult to discern (Han et al., 1993), and we cannot be certain that all of these cells were basket cells rather than being a mix of basket cells and axo-axonic cells, and therefore these cells will be designated GCL cells. Axo-axonic cells, however, often have extensive axonal branching in the hilus as well as in the GCL (Han et al., 1993), favoring the interpretation that these GCL cells, which did not have extensive hilar axons, were indeed basket cells <%1035 %> <% 1036 %>. ... Eight cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3).""","p3992, right mid; p3992, right bot",(x8+x9)/(x6+x11+x12) = 1/2,SG basket (incl. cck) : hilar/granular proj to SMi = 1:2 (4:8),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900078,1027,H AIPRIM,x6,"""Eight [dentate gyrus] cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3). ... Six cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>.""","p3992, right bot; p3993, left top",(x6+x11+x12)/(x13+x14+x21) = 4/3,hilar/granular proj to SMi : hilar/granular proj to SMo = 4:3 (8:6),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900080,1009,H HICAP,x11,"""Eight [dentate gyrus] cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3). ... Six cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>.""","p3992, right bot; p3993, left top",(x6+x11+x12)/(x13+x14+x21) = 4/3,hilar/granular proj to SMi : hilar/granular proj to SMo = 4:3 (8:6),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900082,1009,SG HICAP,x12,"""Eight [dentate gyrus] cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3). ... Six cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>.""","p3992, right bot; p3993, left top",(x6+x11+x12)/(x13+x14+x21) = 4/3,hilar/granular proj to SMi : hilar/granular proj to SMo = 4:3 (8:6),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900084,1013,H HIPP,x13,"""Eight [dentate gyrus] cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3). ... Six cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>.""","p3992, right bot; p3993, left top",(x6+x11+x12)/(x13+x14+x21) = 4/3,hilar/granular proj to SMi : hilar/granular proj to SMo = 4:3 (8:6),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900086,1013,SG HIPP,x14,"""Eight [dentate gyrus] cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3). ... Six cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>.""","p3992, right bot; p3993, left top",(x6+x11+x12)/(x13+x14+x21) = 4/3,hilar/granular proj to SMi : hilar/granular proj to SMo = 4:3 (8:6),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900088,1006,SG Outer Molecular Layer,x21,"""Eight [dentate gyrus] cells had axons arborizing predominantly in the IML [inner molecular layer] <% 1027 %> <% 1009 %> (Figs. 2, 3). ... Six cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>.""","p3992, right bot; p3993, left top",(x6+x11+x12)/(x13+x14+x21) = 4/3,hilar/granular proj to SMi : hilar/granular proj to SMo = 4:3 (8:6),"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900090,1013,H HIPP,x13,"""Six [dentate gyrus] cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>. ... Of the 41 stained axonal arborizations, 22 showed this pattern, and, of these, 17 had adequately stained somatodendritic morphology as well. Compared with the IML [inner molecular layer] and OML cells, the axonal arborization of these cells was not as dense and in many cases branches seemed to wander randomly over the entire thickness of the ML. In general, the axonal arborization was most concentrated in the ML directly overlying the soma, and in occasional cases the axon arborization extended widely in the transverse plane as well, occasionally nearly to the limits of the ML in both the suprapyramidal and infrapyramidal direction. Eleven of the TML [total molecular layer] cells also had axon branches entering the hilus [11 neurons did not have axons in the hilus] <% 1005 %>.""","p3993, left top; p3993, left mid",(x13+x14+x21)/x17 = 6/11,hilar/granular proj to SMo : MOLAX = 6:11,"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900092,1013,SG HIPP,x14,"""Six [dentate gyrus] cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>. ... Of the 41 stained axonal arborizations, 22 showed this pattern, and, of these, 17 had adequately stained somatodendritic morphology as well. Compared with the IML [inner molecular layer] and OML cells, the axonal arborization of these cells was not as dense and in many cases branches seemed to wander randomly over the entire thickness of the ML. In general, the axonal arborization was most concentrated in the ML directly overlying the soma, and in occasional cases the axon arborization extended widely in the transverse plane as well, occasionally nearly to the limits of the ML in both the suprapyramidal and infrapyramidal direction. Eleven of the TML [total molecular layer] cells also had axon branches entering the hilus [11 neurons did not have axons in the hilus] <% 1005 %>.""","p3993, left top; p3993, left mid",(x13+x14+x21)/x17 = 6/11,hilar/granular proj to SMo : MOLAX = 6:11,"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900094,1006,SG Outer Molecular Layer,x21,"""Six [dentate gyrus] cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>. ... Of the 41 stained axonal arborizations, 22 showed this pattern, and, of these, 17 had adequately stained somatodendritic morphology as well. Compared with the IML [inner molecular layer] and OML cells, the axonal arborization of these cells was not as dense and in many cases branches seemed to wander randomly over the entire thickness of the ML. In general, the axonal arborization was most concentrated in the ML directly overlying the soma, and in occasional cases the axon arborization extended widely in the transverse plane as well, occasionally nearly to the limits of the ML in both the suprapyramidal and infrapyramidal direction. Eleven of the TML [total molecular layer] cells also had axon branches entering the hilus [11 neurons did not have axons in the hilus] <% 1005 %>.""","p3993, left top; p3993, left mid",(x13+x14+x21)/x17 = 6/11,hilar/granular proj to SMo : MOLAX = 6:11,"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900096,1005,SG MOLAX,x17,"""Six [dentate gyrus] cells had axons that seemed to arborize preferentially in the outer half of the ML and are referred to as OML [outer molecular layer] cells <% 1013 %> <% 1006 %>. ... Of the 41 stained axonal arborizations, 22 showed this pattern, and, of these, 17 had adequately stained somatodendritic morphology as well. Compared with the IML [inner molecular layer] and OML cells, the axonal arborization of these cells was not as dense and in many cases branches seemed to wander randomly over the entire thickness of the ML. In general, the axonal arborization was most concentrated in the ML directly overlying the soma, and in occasional cases the axon arborization extended widely in the transverse plane as well, occasionally nearly to the limits of the ML in both the suprapyramidal and infrapyramidal direction. Eleven of the TML [total molecular layer] cells also had axon branches entering the hilus [11 neurons did not have axons in the hilus] <% 1005 %>.""","p3993, left top; p3993, left mid",(x13+x14+x21)/x17 = 6/11,hilar/granular proj to SMo : MOLAX = 6:11,"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900098,1005,SG MOLAX,x17,"""Of the 41 stained axonal arborizations, 22 showed this pattern, and, of these, 17 had adequately stained somatodendritic morphology as well. Compared with the [dentate gyrus] IML [inner molecular layer] and OML [outer molecular layer] cells, the axonal arborization of these cells was not as dense and in many cases branches seemed to wander randomly over the entire thickness of the ML. In general, the axonal arborization was most concentrated in the ML directly overlying the soma, and in occasional cases the axon arborization extended widely in the transverse plane as well, occasionally nearly to the limits of the ML in both the suprapyramidal and infrapyramidal direction. Eleven of the TML [total molecular layer] cells also had axon branches entering the hilus <% 1026 %> <% 1004 %> [11 neurons did not have axons in the hilus] <% 1005 %>.""","p3993, left mid",(x17)/(x22+x15) = 1,MOLAX = TML + HIPROM,"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900100,1026,H HIPROM,x15,"""Of the 41 stained axonal arborizations, 22 showed this pattern, and, of these, 17 had adequately stained somatodendritic morphology as well. Compared with the [dentate gyrus] IML [inner molecular layer] and OML [outer molecular layer] cells, the axonal arborization of these cells was not as dense and in many cases branches seemed to wander randomly over the entire thickness of the ML. In general, the axonal arborization was most concentrated in the ML directly overlying the soma, and in occasional cases the axon arborization extended widely in the transverse plane as well, occasionally nearly to the limits of the ML in both the suprapyramidal and infrapyramidal direction. Eleven of the TML [total molecular layer] cells also had axon branches entering the hilus <% 1026 %> <% 1004 %> [11 neurons did not have axons in the hilus] <% 1005 %>.""","p3993, left mid",(x17)/(x22+x15) = 1,MOLAX = TML + HIPROM,"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900102,1004,SG Total Molecular Layer,x22,"""Of the 41 stained axonal arborizations, 22 showed this pattern, and, of these, 17 had adequately stained somatodendritic morphology as well. Compared with the [dentate gyrus] IML [inner molecular layer] and OML [outer molecular layer] cells, the axonal arborization of these cells was not as dense and in many cases branches seemed to wander randomly over the entire thickness of the ML. In general, the axonal arborization was most concentrated in the ML directly overlying the soma, and in occasional cases the axon arborization extended widely in the transverse plane as well, occasionally nearly to the limits of the ML in both the suprapyramidal and infrapyramidal direction. Eleven of the TML [total molecular layer] cells also had axon branches entering the hilus <% 1026 %> <% 1004 %> [11 neurons did not have axons in the hilus] <% 1005 %>.""","p3993, left mid",(x17)/(x22+x15) = 1,MOLAX = TML + HIPROM,"Mott et al., 1997",,,,9151716,0,rats,Sprague Dawley,,
900104,1036,SMi DG Basket CCK+,x10,"""We recorded from 233 [dentate gyrus] neurons in the IML [inner molecular layer] and 64 granule cells <% 1001 %> in the superficial granule cell layer (GCL) in postnatal day 14 (P14)ÐP25 rat slices using standard whole-cell patch clamp methods. ... We often (72.5% of IML recordings) found fast-spiking neurons <% 1036 %> <% 1040 %> <% 1008 %> that discharged intermittently during 2-s-long depolarizing steps (data not shown). However, we also found a subpopulation of neurons (27.5% of IML cells) whose morphology and intrinsic physiology did not resemble fast-spiking interneurons.""","p13757, left bot; p13757, right top",(x10+x16+x18)/x3 = 169/64,Inner molecular layer inhibitory to excitatory cell ratio is 169:64 (ventral) = 2.6:1,"Williams et al., 2007",,,,18077687,0,rats,Sprague Dawley,,14- to 25-day-old
900106,1040,SMi MOCAP,x16,"""We recorded from 233 [dentate gyrus] neurons in the IML [inner molecular layer] and 64 granule cells <% 1001 %> in the superficial granule cell layer (GCL) in postnatal day 14 (P14)ÐP25 rat slices using standard whole-cell patch clamp methods. ... We often (72.5% of IML recordings) found fast-spiking neurons <% 1036 %> <% 1040 %> <% 1008 %> that discharged intermittently during 2-s-long depolarizing steps (data not shown). However, we also found a subpopulation of neurons (27.5% of IML cells) whose morphology and intrinsic physiology did not resemble fast-spiking interneurons.""","p13757, left bot; p13757, right top",(x10+x16+x18)/x3 = 169/64,Inner molecular layer inhibitory to excitatory cell ratio is 169:64 (ventral) = 2.6:1,"Williams et al., 2007",,,,18077687,0,rats,Sprague Dawley,,14- to 25-day-old
